Anzsic,Anzsic_description,Period,Data_value,Variable,Units,Gas,Status
CCZ,Manufacturing,2018Q4,3087,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2019Q1,3017,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2019Q2,2638,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2019Q3,2794,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2019Q4,3249,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2020Q1,2723,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2020Q2,2369,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2020Q3,2533,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2020Q4,2967,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2021Q1,2711,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2021Q2,2396,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2021Q3,2291,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2021Q4,2832,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2022Q1,2660,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2022Q2,2175,Actual,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2022Q3,2070,Actual,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2014Q1,2029,Actual,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2014Q2,2168,Actual,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2014Q3,2075,Actual,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2014Q4,2162,Actual,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2015Q1,2328,Actual,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2015Q2,1941,Actual,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2015Q3,2027,Actual,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2015Q4,1993,Actual,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2016Q1,1956,Actual,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2016Q2,1905,Actual,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2016Q3,1741,Actual,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2016Q4,1575,Actual,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2017Q1,1593,Actual,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2017Q2,2053,Actual,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2017Q3,2111,Actual,Kilotonnes,Carbon dioxide equivalents,P
